"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39760 - Image
11/22/2020 22:18:48
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112222184800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV17323 - Image
11/22/2020 19:08:47
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112219084700SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6585 - Image
11/07/2020 10:03:58
http://10.37.248.147/njta/202011/20201107/15W_12w/01315W_12wW2020110710035845SV_02.jpg
 12w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 TM5879 - Image
11/07/2020 09:22:54
http://10.37.248.147/njta/202011/20201107/007_05w/013007_05wW2020110709225477SV_02.jpg
 05w - 7  
OPEN
$25.55
$50.00
$0.00
$75.55","
 TM2558 - Image
11/07/2020 09:05:46
http://10.37.248.147/njta/202011/20201107/18W_08w/01318W_08wW2020110709054611SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM3014 - Image
11/07/2020 06:38:30
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110706383040SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM833 - Image
11/07/2020 05:52:43
http://10.37.248.147/njta/202011/20201107/012_09w/013012_09wW2020110705524381SV_02.jpg
 09w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL7488 - Image
11/07/2020 05:34:40

 08w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 TL9257 - Image
11/07/2020 04:32:42
http://10.37.248.147/njta/202011/20201107/010_06w/013010_06wW2020110704324229SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM9725 - Image
11/07/2020 03:49:02
http://10.37.248.147/njta/202011/20201107/001_15w/013001_15wW2020110703490293SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TN2050 - Image
11/07/2020 03:32:35
http://10.37.248.147/njta/202011/20201107/15W_07w/01315W_07wW2020110703323547SV_02.jpg
 07w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 TN3579 - Image
11/07/2020 03:17:26
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110703172679SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN210 - Image
11/07/2020 03:16:30
http://10.37.248.147/njta/202011/20201107/18W_08w/01318W_08wW2020110703163013SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TK5386 - Image
11/07/2020 03:05:36
http://10.37.248.147/njta/202011/20201107/002_05w/013002_05wW2020110703053606SV_02.jpg
 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 TM906 - Image
11/07/2020 02:39:55
http://10.37.248.147/njta/202011/20201107/006_07w/013006_07wW2020110702395551SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 TM6283 - Image
11/07/2020 02:28:38
http://10.37.248.147/njta/202011/20201107/18E_11w/01318E_11wW2020110702283849SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 TM6625 - Image
11/07/2020 02:17:54
http://10.37.248.147/njta/202011/20201107/004_07w/013004_07wW2020110702175403SV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM4401 - Image
11/07/2020 02:46:44
http://10.37.248.147/drjt/202011/20201107/TM__04W/020TM__04WN2020110702464430SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9834 - Image
11/07/2020 02:44:58
http://10.37.248.147/dr/202011/20201107/4___07W/0074___07WW2020110702445800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM3883 - Image
11/07/2020 02:13:46
http://10.37.248.147/njta/202011/20201107/013_03w/013013_03wW2020110702134627SV_02.jpg
 03w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TL9404 - Image
11/07/2020 02:09:06
http://10.37.248.147/njta/202011/20201107/012_13w/013012_13wW2020110702090679SV_02.jpg
 13w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 TN2536 - Image
11/07/2020 02:07:05
http://10.37.248.147/njta/202011/20201107/012_14w/013012_14wW2020110702070565SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 TM9936 - Image
11/07/2020 01:29:35
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110701293592SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM4000 - Image
11/07/2020 01:26:57
http://10.37.248.147/njta/202011/20201107/07A_13w/01307A_13wW2020110701265766SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6585 - Image
11/07/2020 01:26:54
http://10.37.248.147/njta/202011/20201107/012_13w/013012_13wW2020110701265456SV_02.jpg
 13w - 12 
OPEN
$31.95
$50.00
$0.00
$81.95","
 TM882 - Image
11/07/2020 01:14:06
http://10.37.248.147/njta/202011/20201107/013_08w/013013_08wW2020110701140644SV_02.jpg
 08w - 13 
OPEN
$18.20
$50.00
$0.00
$68.20","
 TL9512 - Image
11/07/2020 00:33:13
http://10.37.248.147/njta/202011/20201107/013_04w/013013_04wW2020110700331313SV_02.jpg
 04w - 13 
OPEN
$25.55
$50.00
$0.00
$75.55","
 TM9402 - Image
11/07/2020 00:25:58
http://10.37.248.147/njta/202011/20201107/18W_08w/01318W_08wW2020110700255807SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM3563 - Image
11/07/2020 00:17:56
http://10.37.248.147/njta/202011/20201107/18E_11w/01318E_11wW2020110700175604SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM3099 - Image
11/06/2020 23:56:20
http://10.37.248.147/njta/202011/20201106/006_07w/013006_07wW2020110623562069SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 TM4548 - Image
11/06/2020 23:34:58
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110623345857SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM2558 - Image
11/06/2020 23:29:11
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110623291192SV_02.jpg
 08w - 13 
OPEN
$8.65
$50.00
$0.00
$58.65","
 TL9232 - Image
11/06/2020 22:53:47
http://10.37.248.147/njta/202011/20201106/15W_13w/01315W_13wW2020110622534790SV_02.jpg
 13w - 15W
OPEN
$6.65
$50.00
$0.00
$56.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM4517 - Image
11/06/2020 23:35:32
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110623353299SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TM6646 - Image
11/06/2020 10:20:08
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110610200865SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM5247 - Image
11/06/2020 22:41:51
http://10.37.248.147/drba/202011/20201106/DMB_10_/016DMB_10_W2020110622415100SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM9527 - Image
11/06/2020 19:12:53
http://10.37.248.147/drba/202011/20201106/DMB_03_/016DMB_03_W2020110619125300SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM784 - Image
11/06/2020 12:55:15
http://10.37.248.147/drba/202011/20201106/DMB_04_/016DMB_04_W2020110612551500SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TL9803 - Image
11/06/2020 12:19:28
http://10.37.248.147/drba/202011/20201106/DMB_04_/016DMB_04_W2020110612192800SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TN4011 - Image
11/06/2020 03:57:01
http://10.37.248.147/drba/202011/20201106/DMB_04_/016DMB_04_W2020110603570100SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM4000 - Image
11/06/2020 22:34:18
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110622341812SV_02.jpg
 08w - 13 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TL7257 - Image
11/06/2020 22:16:59

 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00","
 TN658 - Image
11/06/2020 22:13:03
http://10.37.248.147/njta/202011/20201106/07A_13w/01307A_13wW2020110622130313SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TM4613 - Image
11/06/2020 21:53:20
http://10.37.248.147/njta/202011/20201106/16W_07w/01316W_07wW2020110621532099SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 TL6246 - Image
11/06/2020 21:29:33
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110621293307SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6935 - Image
11/06/2020 22:26:51
http://10.37.248.147/njta/202011/20201106/013_04w/013013_04wW2020110622265193SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TM9360 - Image
11/06/2020 22:01:31
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110622013155SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM4478 - Image
11/06/2020 21:30:26

 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 TM5247 - Image
11/06/2020 20:58:34

 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 TN1253 - Image
11/06/2020 19:33:14

 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6065 - Image
11/06/2020 22:16:04
http://10.37.248.147/drba/202011/20201106/DMB_12_/016DMB_12_W2020110622160400SV_02.jpg
 12 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM750 - Image
11/06/2020 17:11:23
http://10.37.248.147/drba/202011/20201106/DMB_09_/016DMB_09_W2020110617112300SV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TL7201 - Image
11/06/2020 00:52:40
http://10.37.248.147/drba/202011/20201106/DMB_04_/016DMB_04_W2020110600524000SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM785 - Image
11/06/2020 21:04:01
http://10.37.248.147/njta/202011/20201106/010_05w/013010_05wW2020110621040185SV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM5957 - Image
11/06/2020 20:02:23

 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 TM6750 - Image
11/06/2020 19:56:55
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110619565524SV_02.jpg
 08w - 18W
OPEN
$12.70
$50.00
$0.00
$62.70","
 TM5557 - Image
11/06/2020 19:32:08
http://10.37.248.147/njta/202011/20201106/010_05w/013010_05wW2020110619320874SV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM5356 - Image
11/06/2020 19:20:28
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110619202851SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN1414 - Image
11/06/2020 19:13:45
http://10.37.248.147/njta/202011/20201106/19W_01s/01319W_01sS2020110619134583SV_02.jpg
 01s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 TM2998 - Image
11/06/2020 19:09:46
http://10.37.248.147/njta/202011/20201106/008_03w/013008_03wW2020110619094687SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 TL6182 - Image
11/06/2020 18:59:16
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110618591653SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TM3883 - Image
11/06/2020 18:57:15
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110618571500SV_02.jpg
 08w - 13 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TN236 - Image
11/06/2020 18:44:23

 09w - 10 
OPEN
$10.95
$50.00
$0.00
$60.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM9527 - Image
11/06/2020 19:07:06
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110619070637SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TL7367 - Image
11/06/2020 19:06:02
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110619060221SV_02.jpg
 13w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 TM6646 - Image
11/06/2020 17:06:25
http://10.37.248.147/njta/202011/20201106/19W_01s/01319W_01sS2020110617062599SV_02.jpg
 01s - 19W
OPEN
$5.85
$50.00
$0.00
$55.85","
 TM750 - Image
11/06/2020 17:05:18
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110617051839SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TM6646 - Image
11/06/2020 17:00:26
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110617002647SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN2088 - Image
11/06/2020 18:27:47
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110618274700SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM9528 - Image
11/06/2020 18:04:54

 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 TM3414 - Image
11/06/2020 18:03:13

 07w - 3  
OPEN
$20.40
$50.00
$0.00
$70.40","
 TM5791 - Image
11/06/2020 17:57:51
http://10.37.248.147/njta/202011/20201106/011_18w/013011_18wW2020110617575107SV_02.jpg
 18w - 11 
OPEN
$19.40
$50.00
$0.00
$69.40","
 TM622 - Image
11/06/2020 17:17:00
http://10.37.248.147/njta/202011/20201106/18E_11w/01318E_11wW2020110617170077SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM6096 - Image
11/06/2020 17:07:44

 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00","
 TM9375 - Image
11/06/2020 16:28:45
http://10.37.248.147/njta/202011/20201106/013_03w/013013_03wW2020110616284598SV_02.jpg
 03w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TN1752 - Image
11/06/2020 16:11:49
http://10.37.248.147/njta/202011/20201106/15E_12w/01315E_12wW2020110616114981SV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 TM4396 - Image
11/06/2020 16:07:23
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110616072343SV_02.jpg
 15w - 1  
OPEN
$67.65
$50.00
$0.00
$117.65","
 TM7084 - Image
11/06/2020 15:57:04
http://10.37.248.147/njta/202011/20201106/010_09w/013010_09wW2020110615570478SV_02.jpg
 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL7516 - Image
11/06/2020 16:28:07
http://10.37.248.147/njta/202011/20201106/13A_21w/01313A_21wW2020110616280794SV_02.jpg
 21w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM3006 - Image
11/06/2020 16:20:28
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110616202812SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM4517 - Image
11/06/2020 16:14:18

 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 TM750 - Image
11/06/2020 13:16:41
http://10.37.248.147/njta/202011/20201106/010_09w/013010_09wW2020110613164144SV_02.jpg
 09w - 10 
OPEN
$4.75
$50.00
$0.00
$54.75","
 TM784 - Image
11/06/2020 12:48:34
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110612483417SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM5271 - Image
11/06/2020 15:18:55
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110615185549SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TN1419 - Image
11/06/2020 15:07:20
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110615072035SV_02.jpg
 13w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 TN3830 - Image
11/06/2020 14:46:14
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110614461432SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TM3091 - Image
11/06/2020 13:25:00
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110613250050SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TL4791 - Image
11/06/2020 13:02:25
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110613022563SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN823 - Image
11/06/2020 12:52:32
http://10.37.248.147/njta/202011/20201106/18E_11w/01318E_11wW2020110612523265SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 TM5157 - Image
11/06/2020 12:15:21
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110612152117SV_02.jpg
 15w - 1  
OPEN
$25.35
$50.00
$0.00
$75.35","
 TN2433 - Image
11/06/2020 11:37:08
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110611370890SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TM1716 - Image
11/06/2020 11:09:11
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110611091121SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM4548 - Image
11/06/2020 08:55:54

 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9803 - Image
11/06/2020 12:09:25
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110612092587SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TN893 - Image
11/06/2020 08:09:06
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110608090616SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TL6379 - Image
11/06/2020 04:06:16
http://10.37.248.147/njta/202011/20201106/013_11w/013013_11wW2020110604061644SV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TN2616 - Image
11/06/2020 03:54:52
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110603545251SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TL9050 - Image
11/06/2020 03:28:08
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110603280817SV_02.jpg
 08w - 18W
OPEN
$25.55
$50.00
$0.00
$75.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM9588 - Image
11/06/2020 07:56:14
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110607561481SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TL8360 - Image
11/06/2020 04:03:00
http://10.37.248.147/njta/202011/20201106/008_03w/013008_03wW2020110604030069SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 TN4011 - Image
11/06/2020 03:51:26
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110603512640SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9594 - Image
11/06/2020 07:55:47
http://10.37.248.147/dr/202011/20201106/3___06W/0073___06WW2020110607554700SV_02.jpg
 06W - WWB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM9774 - Image
11/06/2020 06:31:25
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110606312556SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN800 - Image
11/06/2020 04:47:55
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110604475595SV_02.jpg
 09w - 18W
OPEN
$25.55
$50.00
$0.00
$75.55","
 TL9431 - Image
11/06/2020 02:29:12
http://10.37.248.147/njta/202011/20201106/012_10w/013012_10wW2020110602291217SV_02.jpg
 10w - 12 
OPEN
$3.75
$50.00
$0.00
$53.75","
 TL5961 - Image
11/06/2020 02:28:58
http://10.37.248.147/njta/202011/20201106/010_06w/013010_06wW2020110602285831SV_02.jpg
 06w - 10 
OPEN
$35.70
$50.00
$0.00
$85.70","
 TM882 - Image
11/06/2020 02:12:54
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110602125466SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TL9090 - Image
11/06/2020 02:05:11
http://10.37.248.147/njta/202011/20201106/012_16w/013012_16wW2020110602051111SV_02.jpg
 16w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM6037 - Image
11/06/2020 04:04:56
http://10.37.248.147/dr/202011/20201106/4___03W/0074___03WW2020110604045600SV_02.jpg
 03W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN949 - Image
11/06/2020 03:32:20
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110603322025SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TN778 - Image
11/06/2020 02:56:58
http://10.37.248.147/njta/202011/20201106/005_04w/013005_04wW2020110602565874SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 TL6907 - Image
11/06/2020 02:55:04
http://10.37.248.147/njta/202011/20201106/15E_12w/01315E_12wW2020110602550448SV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 TN3886 - Image
11/06/2020 02:28:43
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110602284332SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM3101 - Image
11/06/2020 00:31:55

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN2490 - Image
11/06/2020 02:40:39
http://10.37.248.147/drjt/202011/20201106/TM__04W/020TM__04WN2020110602403929SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9142 - Image
11/05/2020 23:47:10

 09w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20"
