"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV13491 - Image
10/19/2020 18:54:25
http://10.37.248.147/njta/202010/20201019/07A_13w/01307A_13wW2020101918542589DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV15088 - Image
10/19/2020 18:52:21
http://10.37.248.147/njta/202010/20201019/004_07w/013004_07wW2020101918522108DV_02.jpg
 07w - 4  
OPEN
$28.00
$50.00
$0.00
$78.00","
 HV20255 - Image
10/19/2020 18:49:32
http://10.37.248.147/njta/202010/20201019/012_11w/013012_11wW2020101918493234DV_02.jpg
 11w - 12 
OPEN
$21.55
$50.00
$0.00
$71.55","
 HV44836 - Image
10/19/2020 18:35:15
http://10.37.248.147/njta/202010/20201019/001_15w/013001_15wW2020101918351583DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV40286 - Image
10/19/2020 18:19:46
http://10.37.248.147/njta/202010/20201019/15E_11w/01315E_11wW2020101918194608DV_02.jpg
 11w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40329 - Image
10/19/2020 18:09:14
http://10.37.248.147/njta/202010/20201019/012_11w/013012_11wW2020101918091480DV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV39301 - Image
10/19/2020 17:40:35
http://10.37.248.147/njta/202010/20201019/006_08w/013006_08wW2020101917403573DV_02.jpg
 08w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV17714 - Image
10/19/2020 17:31:16
http://10.37.248.147/njta/202010/20201019/18E_11w/01318E_11wW2020101917311604DV_02.jpg
 11w - 18E
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV43327 - Image
10/19/2020 16:50:31
http://10.37.248.147/njta/202010/20201019/001_16w/013001_16wW2020101916503145DV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV43499 - Image
10/19/2020 16:31:18
http://10.37.248.147/njta/202010/20201019/001_15w/013001_15wW2020101916311824DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37407 - Image
10/19/2020 17:20:57

 06s - PVK
OPEN
$9.55
$50.00
$0.00
$59.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36849 - Image
10/19/2020 16:49:53
http://10.37.248.147/njta/202010/20201019/010_06w/013010_06wW2020101916495301DV_02.jpg
 06w - 10 
OPEN
$8.30
$50.00
$0.00
$58.30","
 HV14724 - Image
10/19/2020 16:27:16
http://10.37.248.147/njta/202010/20201019/006_07w/013006_07wW2020101916271652DV_02.jpg
 07w - 6  
OPEN
$34.20
$50.00
$0.00
$84.20","
 HV45782 - Image
10/19/2020 16:17:11
http://10.37.248.147/njta/202010/20201019/013_08w/013013_08wW2020101916171122DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44807 - Image
10/19/2020 16:06:44
http://10.37.248.147/njta/202010/20201019/06A_01s/01306A_01sS2020101916064498DV_02.jpg
 01s - 6A 
OPEN
$4.10
$50.00
$0.00
$54.10","
 HV30970 - Image
10/19/2020 14:53:36
http://10.37.248.147/njta/202010/20201019/07A_10w/01307A_10wW2020101914533632DV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44418 - Image
10/19/2020 16:23:07
http://10.37.248.147/njta/202010/20201019/013_08w/013013_08wW2020101916230755DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV43389 - Image
10/19/2020 16:05:33
http://10.37.248.147/njta/202010/20201019/07A_10w/01307A_10wW2020101916053373DV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV45200 - Image
10/19/2020 15:57:42
http://10.37.248.147/njta/202010/20201019/002_05w/013002_05wW2020101915574242DV_02.jpg
 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 HV43389 - Image
10/19/2020 15:35:04
http://10.37.248.147/njta/202010/20201019/006_08w/013006_08wW2020101915350497DV_02.jpg
 08w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV45354 - Image
10/19/2020 15:14:32
http://10.37.248.147/njta/202010/20201019/07A_13w/01307A_13wW2020101915143262DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45323 - Image
10/19/2020 15:00:48
http://10.37.248.147/njta/202010/20201019/07A_12w/01307A_12wW2020101915004860DV_02.jpg
 12w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV39940 - Image
10/19/2020 14:42:02
http://10.37.248.147/njta/202010/20201019/010_06w/013010_06wW2020101914420283DV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV40172 - Image
10/19/2020 14:31:06
http://10.37.248.147/njta/202010/20201019/008_03w/013008_03wW2020101914310632DV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20001 - Image
10/19/2020 14:28:16
http://10.37.248.147/njta/202010/20201019/013_09w/013013_09wW2020101914281699DV_02.jpg
 09w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV43497 - Image
10/19/2020 14:28:07
http://10.37.248.147/njta/202010/20201019/013_04w/013013_04wW2020101914280783DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17880 - Image
10/19/2020 14:13:14

 14w - 18E
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV39211 - Image
10/19/2020 13:51:50
http://10.37.248.147/njta/202010/20201019/15E_12w/01315E_12wW2020101913515029DV_02.jpg
 12w - 15E
OPEN
$49.50
$50.00
$0.00
$99.50","
 HV43405 - Image
10/19/2020 13:49:50
http://10.37.248.147/njta/202010/20201019/001_15w/013001_15wW2020101913495006DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV01613 - Image
10/19/2020 13:43:48
http://10.37.248.147/njta/202010/20201019/18W_09w/01318W_09wW2020101913434898DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36754 - Image
10/19/2020 13:41:06
http://10.37.248.147/njta/202010/20201019/004_09w/013004_09wW2020101913410645DV_02.jpg
 09w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45737 - Image
10/19/2020 14:08:10
http://10.37.248.147/njta/202010/20201019/18W_08w/01318W_08wW2020101914081075DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36595 - Image
10/19/2020 13:41:11

 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV37742 - Image
10/19/2020 13:31:35
http://10.37.248.147/njta/202010/20201019/18W_08w/01318W_08wW2020101913313560DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV43217 - Image
10/19/2020 13:30:39
http://10.37.248.147/njta/202010/20201019/001_15w/013001_15wW2020101913303995DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV36561 - Image
10/19/2020 13:19:45
http://10.37.248.147/njta/202010/20201019/18W_09w/01318W_09wW2020101913194540DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37219 - Image
10/19/2020 13:29:49

 09w - 10 
OPEN
$6.65
$50.00
$0.00
$56.65","
 HV44681 - Image
10/19/2020 13:28:37
http://10.37.248.147/njta/202010/20201019/13A_14w/01313A_14wW2020101913283784DV_02.jpg
 14w - 13A
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV39911 - Image
10/19/2020 13:06:06

 09w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV39291 - Image
10/19/2020 12:14:57
http://10.37.248.147/njta/202010/20201019/18W_09w/01318W_09wW2020101912145714DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV39291 - Image
10/19/2020 11:36:36
http://10.37.248.147/njta/202010/20201019/16W_07w/01316W_07wW2020101911363630DV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19699 - Image
10/19/2020 13:04:38
http://10.37.248.147/njta/202010/20201019/15E_11w/01315E_11wW2020101913043888DV_02.jpg
 11w - 15E
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV20837 - Image
10/19/2020 13:04:17
http://10.37.248.147/njta/202010/20201019/012_14w/013012_14wW2020101913041769DV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV44267 - Image
10/19/2020 12:22:39
http://10.37.248.147/njta/202010/20201019/18W_09w/01318W_09wW2020101912223964DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV02302 - Image
10/19/2020 12:17:00
http://10.37.248.147/njta/202010/20201019/18W_09w/01318W_09wW2020101912170096DV_02.jpg
 09w - 18W
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV30970 - Image
10/19/2020 11:46:10
http://10.37.248.147/njta/202010/20201019/010_06w/013010_06wW2020101911461027DV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45990 - Image
10/19/2020 12:53:33
http://10.37.248.147/drjt/202010/20201019/O78_11W/020O78_11WN2020101912533393DV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV20336 - Image
10/19/2020 07:42:59
http://10.37.248.147/drjt/202010/20201019/TM__02W/020TM__02WN2020101907425904DV_02.jpg
 02W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44483 - Image
10/19/2020 11:33:56

 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV43514 - Image
10/19/2020 11:18:20
http://10.37.248.147/njta/202010/20201019/010_04w/013010_04wW2020101911182023DV_02.jpg
 04w - 10 
OPEN
$3.35
$50.00
$0.00
$53.35","
 HV14843 - Image
10/19/2020 11:00:00

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV44521 - Image
10/19/2020 10:49:25
http://10.37.248.147/njta/202010/20201019/07A_13w/01307A_13wW2020101910492586DV_02.jpg
 13w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV19591 - Image
10/19/2020 09:50:51
http://10.37.248.147/njta/202010/20201019/012_13w/013012_13wW2020101909505146DV_02.jpg
 13w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20050 - Image
10/19/2020 09:29:12

 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV40081 - Image
10/19/2020 09:15:28
http://10.37.248.147/njta/202010/20201019/013_04w/013013_04wW2020101909152898DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV42810 - Image
10/19/2020 09:14:30
http://10.37.248.147/njta/202010/20201019/013_11w/013013_11wW2020101909143053DV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV42879 - Image
10/19/2020 08:39:49
http://10.37.248.147/njta/202010/20201019/07A_10w/01307A_10wW2020101908394992DV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV43508 - Image
10/19/2020 07:56:13
http://10.37.248.147/njta/202010/20201019/012_10w/013012_10wW2020101907561362DV_02.jpg
 10w - 12 
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37913 - Image
10/19/2020 08:51:28
http://10.37.248.147/njta/202010/20201019/13A_13w/01313A_13wW2020101908512876DV_02.jpg
 13w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV37913 - Image
10/19/2020 08:43:59
http://10.37.248.147/njta/202010/20201019/013_03w/013013_03wW2020101908435925DV_02.jpg
 03w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37913 - Image
10/19/2020 08:10:03
http://10.37.248.147/njta/202010/20201019/14A_09w/01314A_09wW2020101908100333DV_02.jpg
 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00","
 HV46045 - Image
10/19/2020 08:04:01

 14w - 18E
OPEN
$48.70
$50.00
$0.00
$98.70","
 HV17377 - Image
10/19/2020 07:44:01
http://10.37.248.147/njta/202010/20201019/15E_11w/01315E_11wW2020101907440153DV_02.jpg
 11w - 15E
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45107 - Image
10/19/2020 07:28:56
http://10.37.248.147/njta/202010/20201019/001_15w/013001_15wW2020101907285620DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV38458 - Image
10/19/2020 07:14:20
http://10.37.248.147/njta/202010/20201019/006_07w/013006_07wW2020101907142004DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV39368 - Image
10/19/2020 06:17:17
http://10.37.248.147/njta/202010/20201019/012_10w/013012_10wW2020101906171721DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37392 - Image
10/19/2020 05:16:53
http://10.37.248.147/njta/202010/20201019/06A_01s/01306A_01sS2020101905165399DV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV14750 - Image
10/19/2020 04:43:47
http://10.37.248.147/njta/202010/20201019/010_09w/013010_09wW2020101904434740DV_02.jpg
 09w - 10 
OPEN
$6.25
$50.00
$0.00
$56.25"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV15256 - Image
10/19/2020 07:01:14
http://10.37.248.147/njta/202010/20201019/07A_13w/01307A_13wW2020101907011493DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44627 - Image
10/19/2020 06:53:44
http://10.37.248.147/njta/202010/20201019/06A_01s/01306A_01sS2020101906534491DV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV36393 - Image
10/19/2020 06:53:27
http://10.37.248.147/njta/202010/20201019/013_09w/013013_09wW2020101906532788DV_02.jpg
 09w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV36330 - Image
10/19/2020 06:29:38
http://10.37.248.147/njta/202010/20201019/006_07w/013006_07wW2020101906293857DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV46057 - Image
10/19/2020 06:03:39
http://10.37.248.147/njta/202010/20201019/010_05w/013010_05wW2020101906033981DV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19376 - Image
10/19/2020 06:01:39
http://10.37.248.147/njta/202010/20201019/07A_09w/01307A_09wW2020101906013901DV_02.jpg
 09w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV17377 - Image
10/19/2020 06:00:11
http://10.37.248.147/njta/202010/20201019/19W_01s/01319W_01sS2020101906001101DV_02.jpg
 01s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 HV46164 - Image
10/19/2020 05:46:48
http://10.37.248.147/njta/202010/20201019/07A_10w/01307A_10wW2020101905464896DV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV46080 - Image
10/19/2020 04:23:16
http://10.37.248.147/njta/202010/20201019/006_07w/013006_07wW2020101904231619DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV37766 - Image
10/19/2020 03:49:07
http://10.37.248.147/njta/202010/20201019/18E_11w/01318E_11wW2020101903490743DV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44726 - Image
10/19/2020 04:15:22
http://10.37.248.147/njta/202010/20201019/013_11w/013013_11wW2020101904152283DV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV39058 - Image
10/19/2020 04:00:08
http://10.37.248.147/njta/202010/20201019/010_06w/013010_06wW2020101904000897DV_02.jpg
 06w - 10 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV38881 - Image
10/19/2020 03:33:51
http://10.37.248.147/njta/202010/20201019/013_04w/013013_04wW2020101903335194DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44933 - Image
10/19/2020 03:01:12
http://10.37.248.147/njta/202010/20201019/006_07w/013006_07wW2020101903011208DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV45289 - Image
10/19/2020 02:58:58
http://10.37.248.147/njta/202010/20201019/013_09w/013013_09wW2020101902585867DV_02.jpg
 09w - 13 
OPEN
$8.65
$50.00
$0.00
$58.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20897 - Image
10/19/2020 03:29:52
http://10.37.248.147/njta/202010/20201019/012_11w/013012_11wW2020101903295244DV_02.jpg
 11w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV15152 - Image
10/19/2020 02:44:13
http://10.37.248.147/njta/202010/20201019/13A_18w/01313A_18wW2020101902441385DV_02.jpg
 18w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV36558 - Image
10/19/2020 02:02:09
http://10.37.248.147/njta/202010/20201019/15E_11w/01315E_11wW2020101902020913DV_02.jpg
 11w - 15E
OPEN
$8.30
$50.00
$0.00
$58.30","
 HV46039 - Image
10/19/2020 01:18:14
http://10.37.248.147/njta/202010/20201019/013_08w/013013_08wW2020101901181409DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV45035 - Image
10/19/2020 00:21:01

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39245 - Image
10/19/2020 02:50:21
http://10.37.248.147/njta/202010/20201019/07A_10w/01307A_10wW2020101902502196DV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV43514 - Image
10/19/2020 02:41:04
http://10.37.248.147/njta/202010/20201019/013_03w/013013_03wW2020101902410411DV_02.jpg
 03w - 13 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV44378 - Image
10/19/2020 02:40:43
http://10.37.248.147/njta/202010/20201019/013_08w/013013_08wW2020101902404380DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37519 - Image
10/19/2020 02:34:35
http://10.37.248.147/njta/202010/20201019/012_10w/013012_10wW2020101902343571DV_02.jpg
 10w - 12 
OPEN
$3.75
$50.00
$0.00
$53.75","
 HV44094 - Image
10/19/2020 02:11:17
http://10.37.248.147/njta/202010/20201019/012_10w/013012_10wW2020101902111722DV_02.jpg
 10w - 12 
OPEN
$19.40
$50.00
$0.00
$69.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20399 - Image
10/19/2020 01:07:00
http://10.37.248.147/njta/202010/20201019/012_09w/013012_09wW2020101901070059DV_02.jpg
 09w - 12 
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV14835 - Image
10/19/2020 01:54:55
http://10.37.248.147/njta/202010/20201019/012_10w/013012_10wW2020101901545549DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV43867 - Image
10/19/2020 01:15:43

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44521 - Image
10/19/2020 01:13:57
http://10.37.248.147/njta/202010/20201019/18W_09w/01318W_09wW2020101901135798DV_02.jpg
 09w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV43726 - Image
10/19/2020 00:49:50
http://10.37.248.147/njta/202010/20201019/07A_08w/01307A_08wW2020101900495056DV_02.jpg
 08w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV38746 - Image
10/19/2020 00:42:38
http://10.37.248.147/njta/202010/20201019/013_08w/013013_08wW2020101900423898DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43726 - Image
10/19/2020 01:03:21
http://10.37.248.147/drjt/202010/20201019/TM__04W/020TM__04WN2020101901032126DV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36593 - Image
10/19/2020 00:41:46

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV45986 - Image
10/19/2020 00:22:50
http://10.37.248.147/njta/202010/20201019/010_03w/013010_03wW2020101900225042DV_02.jpg
 03w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV45338 - Image
10/19/2020 00:10:11
http://10.37.248.147/njta/202010/20201019/001_15w/013001_15wW2020101900101154DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV20772 - Image
10/19/2020 00:05:48
http://10.37.248.147/njta/202010/20201019/011_18w/013011_18wW2020101900054886DV_02.jpg
 18w - 11 
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38458 - Image
10/19/2020 00:05:35
http://10.37.248.147/njta/202010/20201019/013_03w/013013_03wW2020101900053535DV_02.jpg
 03w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19512 - Image
10/18/2020 23:58:16
http://10.37.248.147/njta/202010/20201018/16W_07w/01316W_07wW2020101823581652DV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19931 - Image
10/18/2020 23:26:29
http://10.37.248.147/njta/202010/20201018/001_15w/013001_15wW2020101823262900DV_02.jpg
 15w - 1  
OPEN
$67.65
$50.00
$0.00
$117.65","
 HV36723 - Image
10/18/2020 23:04:13
http://10.37.248.147/njta/202010/20201018/012_11w/013012_11wW2020101823041336DV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV40655 - Image
10/18/2020 22:52:45
http://10.37.248.147/njta/202010/20201018/16W_07w/01316W_07wW2020101822524515DV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV15284 - Image
10/18/2020 22:44:01
http://10.37.248.147/njta/202010/20201018/012_11w/013012_11wW2020101822440140DV_02.jpg
 11w - 12 
OPEN
$31.95
$50.00
$0.00
$81.95","
 HV38598 - Image
10/18/2020 22:02:51

 05w - 6  
OPEN
$14.50
$50.00
$0.00
$64.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37082 - Image
10/18/2020 23:08:04
http://10.37.248.147/drba/202010/20201018/DMB_03_/016DMB_03_W2020101823080400DV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20122 - Image
10/18/2020 22:44:01
http://10.37.248.147/drjt/202010/20201018/O78_11W/020O78_11WN2020101822440125DV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV39116 - Image
10/18/2020 08:27:44
http://10.37.248.147/drjt/202010/20201018/ODW_21W/020ODW_21WN2020101808274428DV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44069 - Image
10/18/2020 22:29:59

 07w - 7  
OPEN
$25.55
$50.00
$0.00
$75.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37578 - Image
10/18/2020 22:17:16
http://10.37.248.147/njta/202010/20201018/001_15w/013001_15wW2020101822171699DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV36680 - Image
10/18/2020 22:15:17
http://10.37.248.147/njta/202010/20201018/002_05w/013002_05wW2020101822151770DV_02.jpg
 05w - 2  
OPEN
$67.65
$50.00
$0.00
$117.65","
 HV44569 - Image
10/18/2020 22:09:46

 11w - 18E
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV43500 - Image
10/18/2020 22:05:33
http://10.37.248.147/njta/202010/20201018/013_08w/013013_08wW2020101822053331DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20144 - Image
10/18/2020 21:58:11
http://10.37.248.147/njta/202010/20201018/012_10w/013012_10wW2020101821581199DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
